Years,LTV,Interest_rate,Bank_name,loan_number
     12,1,2.75,לאומי,6612
     20,1,2.88,הבינלאומי,6620
     20,3,2.85,לאומי,6635
     14,2,2.26,פועלים,6637
      9,1,2.39,מזרחי-טפחות,6638
10.5833,1, 2.5,מזרחי-טפחות,6638
20.4167,2,   3,דיסקונט,6639
     21,1,2.05,דיסקונט,6640
     25,2,2.97,פועלים,6641
     29,1,3.19,לאומי,6643
     30,3,3.23,פועלים,6644
     13,1,2.06,פועלים,6645
     25,2,2.88,פועלים,6646
     30,1, 3.5,מזרחי-טפחות,6647
     20,2,2.94,פועלים,6648
     23,3,   3,דיסקונט,6649
     25,2,2.75,לאומי,6652
     25,3,3.19,לאומי,6653
     23,3, 2.9,אגוד,6654
     20,1,2.89,דיסקונט,6655
     14,3,2.69,אגוד,6656
     15,2,2.46,פועלים,6657
     26,3,   4,דיסקונט,6658
      6,1,2.36,לאומי,6659
     20,2, 2.8,דיסקונט,6660
     23,3, 2.8,דיסקונט,6661
     25,2, 2.7,דיסקונט,6662
20.4167,3,   3,לאומי,6663
     19,1, 2.8,דיסקונט,6664
     25,3,3.18,דיסקונט,6666
     15,1,2.76,אגוד,6667
     25,2,2.85,דיסקונט,6668
     20,2, 2.8,דיסקונט,6669
     25,2,2.89,הבינלאומי,6670
     19,1,2.85,לאומי,6671
     20,1,1.82,פועלים,6672
     23,3, 2.8,אגוד,6675
     15,3,2.23,פועלים,6676
     20,3,2.85,לאומי,6677
     30,3, 3.4,לאומי,6678
     22,3, 3.1,לאומי,6681
     30,2,3.53,מזרחי-טפחות,6683
     10,2, 2.6,לאומי,6684
     19,2,2.95,מזרחי-טפחות,6685
     15,1,2.49,פועלים,6686
     17,2,3.09,לאומי,6688
     15,2,2.75,דיסקונט,6689
     25,2, 3.8,לאומי,6691
     23,3, 2.7,דיסקונט,6692
     12,2,   3,דיסקונט,6696
     20,1,4.35,מזרחי-טפחות,6697
     22,3,2.95,לאומי,6698
     21,3,2.85,לאומי,6698
     13,3,2.75,פועלים,6700
     27,3,3.17,לאומי,6701
     19,2,2.75,לאומי,6702
     18,2, 2.7,לאומי,6702
     30,3,   3,אגוד,6703
     20,3,3.59,מזרחי-טפחות,6704
     15,2, 2.7,פועלים,6705
     15,2,2.85,אגוד,6706
     15,2,2.64,לאומי,6707
     15,2, 2.6,דיסקונט,6708
     22,3,2.43,לאומי,6709
     25,3,4.05,לאומי,6710
     25,3,3.98,לאומי,6711
     15,3,2.68,לאומי,6712
     12,2, 2.6,הבינלאומי,6713
     20,3,2.98,לאומי,6714
     25,2, 2.7,דיסקונט,6715
     24,3, 3.4,אגוד,6716
     14,3, 2.9,מזרחי-טפחות,6717
     30,2,2.99,פועלים,6718
     25,3, 2.9,לאומי,6719
     15,2,2.41,פועלים,6720
     18,1,2.82,מזרחי-טפחות,6722
     19,1,2.89,פועלים,6723
     30,3, 3.7,פועלים,6725
   21.5,3, 3.7,מזרחי-טפחות,6726
     25,2, 2.5,דיסקונט,6727
     21,1,2.05,פועלים,6728
     17,3,2.75,לאומי,6729
     30,3, 3.8,פועלים,6730
     14,2,2.16,פועלים,6731
     25,1,3.15,הבינלאומי,6734
     19,1,2.97,לאומי,6735
     20,3,2.82,הבינלאומי,6736
     19,3,2.55,דיסקונט,6737
     15,3,2.68,לאומי,6738
     17,3,2.75,לאומי,6739
     18,3,2.88,לאומי,6741
     15,2,2.95,לאומי,6743
     30,1,3.38,דיסקונט,6744
     30,3,3.38,דיסקונט,6745
     22,3, 2.9,לאומי,6749
     21,3, 2.8,לאומי,6749
     25,3, 3.4,לאומי,6750
     20,2,3.49,מזרחי-טפחות,6751
22.3333,2,3.49,מזרחי-טפחות,6752
     19,2,2.84,פועלים,6753
     15,1,2.32,דיסקונט,6754
     20,3, 3.3,לאומי,6755
     20,1,2.89,דיסקונט,6757
     30,3,3.45,פועלים,6758
     20,1, 3.3,מזרחי-טפחות,6759
     25,3,3.35,לאומי,6760
     17,3,2.85,לאומי,6760
     14,1,2.77,לאומי,6761
      6,1,1.65,אגוד,6765
     12,2, 2.6,הבינלאומי,6766
     16,2,2.14,פועלים,6767
     19,2, 2.7,דיסקונט,6769
     18,2,2.65,דיסקונט,6769
     21,1,2.05,דיסקונט,6770
     25,2, 2.7,לאומי,6771
     25,2, 2.7,לאומי,6772
     25,2, 2.5,דיסקונט,6773
     24,3, 2.8,דיסקונט,6774
     22,1, 3.5,לאומי,6775
