Years,LTV,Interest_rate,Bank_name,loan_number
25,3,2.32,פועלים,6634
20,3,1.91,לאומי,6635
20,1,1.91,דיסקונט,6640
25,2,2.24,פועלים,6646
30,3, 2.6,דיסקונט,6649
25,3,2.24,אגוד,6654
15,3,1.66,אגוד,6656
15,3,1.66,אגוד,6656
15,3,1.66,אגוד,6656
25,3,2.24,דיסקונט,6661
25,2,2.24,דיסקונט,6668
25,2,2.24,הבינלאומי,6670
25,3,2.24,אגוד,6675
20,3,1.91,לאומי,6677
20,3,1.91,לאומי,6677
20,3,1.91,לאומי,6681
20,2,1.91,מזרחי-טפחות,6685
20,2,1.91,לאומי,6688
25,3,2.24,דיסקונט,6692
15,3,1.66,מזרחי-טפחות,6704
15,2,1.66,אגוד,6706
20,3,1.91,לאומי,6712
20,3,1.91,לאומי,6714
25,3,2.32,אגוד,6716
25,3,2.32,אגוד,6724
20,1,1.91,פועלים,6728
30,3, 2.6,פועלים,6730
20,3,1.91,דיסקונט,6737
20,3,1.92,לאומי,6738
15,3,1.66,לאומי,6741
25,3,2.25,מזרחי-טפחות,6748
15,3,1.66,לאומי,6750
20,2,1.92,מזרחי-טפחות,6751
20,2,1.91,מזרחי-טפחות,6752
20,2,1.91,פועלים,6753
20,2,2.68,פועלים,6753
20,3,1.91,לאומי,6755
10,2,   2,לאומי,6756
30,2, 2.6,לאומי,6756
20,2,1.91,דיסקונט,6769
20,1,1.91,דיסקונט,6770
25,3,2.24,דיסקונט,6774
30,1, 2.6,לאומי,6775
30,1, 2.6,לאומי,6782
20,1,1.91,פועלים,6786
20,3,1.91,פועלים,6794
20,3,1.91,הבינלאומי,6797
25,3,2.32,אגוד,6800
20,2,1.91,דיסקונט,6809
15,3,1.66,לאומי,6813
20,3,1.91,פועלים,6814
30,3, 2.6,פועלים,6815
15,3,1.66,דיסקונט,6818
20,3,1.91,פועלים,6821
30,3, 2.6,לאומי,6823
25,2,2.24,דיסקונט,6829
20,3,1.91,מזרחי-טפחות,6837
15,3,1.66,לאומי,6843
25,3,2.24,פועלים,6850
20,3,1.91,פועלים,6866
25,2,2.29,אגוד,6867
20,2,1.91,לאומי,6876
20,2,1.91,פועלים,6883
20,3,1.91,דיסקונט,6884
30,3, 2.6,דיסקונט,6885
20,3,1.91,מזרחי-טפחות,6886
30,3, 2.6,לאומי,6887
