Years,LTV,Interest_rate,Bank_name,loan_number
     30,1, 0.9,לאומי,6612
     15,1, 1.1,מזרחי-טפחות,6618
     30,1,   1,הבינלאומי,6620
     29,3,0.95,פועלים,6634
     20,3, 1.1,לאומי,6635
     24,2, 0.9,פועלים,6637
     15,1, 0.9,מזרחי-טפחות,6638
     24,2,0.95,דיסקונט,6639
22.6667,1, 0.8,דיסקונט,6640
     30,2, 1.1,פועלים,6641
     30,1, 1.1,לאומי,6643
     30,3, 1.1,פועלים,6644
13.6667,1, 0.9,פועלים,6645
     25,2, 0.9,פועלים,6646
     30,1, 1.1,מזרחי-טפחות,6647
     24,2, 0.9,פועלים,6648
  26.25,3,0.95,דיסקונט,6649
     24,2, 0.9,לאומי,6650
     28,2,   1,לאומי,6652
     29,3,0.95,לאומי,6653
  26.25,3,0.95,אגוד,6654
     30,1, 0.9,דיסקונט,6655
     21,3, 0.8,אגוד,6656
     24,2,   1,פועלים,6657
     26,3,1.85,דיסקונט,6658
     30,1, 0.9,לאומי,6659
     24,2, 0.9,דיסקונט,6660
  26.25,3,0.95,דיסקונט,6661
     28,2,   1,דיסקונט,6662
     24,3, 0.9,לאומי,6663
     21,1,   1,דיסקונט,6664
     29,3,0.92,דיסקונט,6666
     25,1,0.95,אגוד,6667
     25,2, 0.9,דיסקונט,6668
     24,2, 0.9,דיסקונט,6669
     25,2, 0.9,הבינלאומי,6670
     21,1, 1.1,לאומי,6671
     25,1, 0.8,פועלים,6672
     20,3,5.35,מזרחי-טפחות,6673
     30,3, 1.6,מזרחי-טפחות,6673
     30,2, 4.6,מזרחי-טפחות,6674
     30,2, 1.1,מזרחי-טפחות,6674
  26.25,3,0.95,אגוד,6675
     30,3, 0.9,פועלים,6676
     20,3, 1.1,לאומי,6677
     20,3, 2.9,לאומי,6677
     30,3, 2.1,לאומי,6678
     30,3, 0.8,פועלים,6679
     30,2, 1.6,מזרחי-טפחות,6680
     30,3, 1.2,לאומי,6681
     30,2,   1,מזרחי-טפחות,6683
     25,2, 1.1,לאומי,6684
     22,2, 0.9,מזרחי-טפחות,6685
     20,1, 0.9,פועלים,6686
     25,3, 1.5,מזרחי-טפחות,6687
     25,2, 0.9,לאומי,6688
     30,2,1.05,דיסקונט,6689
     30,3, 0.9,פועלים,6690
     30,2, 1.1,לאומי,6691
  26.25,3,0.92,דיסקונט,6692
     21,2,0.92,דיסקונט,6696
     25,1, 1.6,מזרחי-טפחות,6697
