Years,LTV,Interest_rate,Bank_name,loan_number
20,1, 2.7,הבינלאומי,6620
30,1,3.36,לאומי,6643
30,1,3.32,מזרחי-טפחות,6647
25,3,2.64,לאומי,6653
20,3,3.16,לאומי,6653
20,1,3.01,דיסקונט,6664
25,3,3.14,דיסקונט,6666
20,3,3.14,דיסקונט,6666
20,1,3.16,לאומי,6671
30,3,3.36,לאומי,6678
30,3, 1.2,פועלים,6682
25,3,2.61,לאומי,6701
20,3,3.11,לאומי,6701
30,2,3.11,פועלים,6720
20,1,2.74,מזרחי-טפחות,6722
20,1,3.36,פועלים,6723
20,1,3.41,לאומי,6735
25,3,3.16,הבינלאומי,6736
30,1,3.06,דיסקונט,6744
30,3,3.06,דיסקונט,6745
30,3,3.36,לאומי,6755
30,3,3.16,לאומי,6778
30,1,3.06,מזרחי-טפחות,6792
30,2,2.96,דיסקונט,6810
30,1,3.01,לאומי,6816
20,3,2.56,דיסקונט,6817
30,2,2.96,לאומי,6844
30,2,2.92,דיסקונט,6852
30,3, 2.8,הבינלאומי,6853
25,3, 2.7,פועלים,6882
20,3, 3.4,פועלים,6882
