Years,LTV,Interest_rate,Bank_name,loan_number
15,1,2.21,מזרחי-טפחות,6618
30,2,3.16,פועלים,6637
30,1,1.81,דיסקונט,6640
30,2,2.46,פועלים,6641
30,3,2.32,פועלים,6644
10,1,1.56,פועלים,6645
30,1,1.66,פועלים,6645
25,2,2.31,לאומי,6652
24,2,2.16,פועלים,6657
20,1,2.01,לאומי,6659
25,2,2.21,דיסקונט,6662
10,1, 1.5,אגוד,6667
30,1,2.56,פועלים,6672
30,2,3.75,מזרחי-טפחות,6674
30,2,2.66,מזרחי-טפחות,6674
30,3,2.14,פועלים,6676
30,3,2.46,לאומי,6678
25,3,2.75,פועלים,6679
30,2,3.25,מזרחי-טפחות,6680
25,3,2.76,לאומי,6681
30,3,2.16,פועלים,6682
30,2,2.75,מזרחי-טפחות,6683
25,2,2.45,לאומי,6684
20,1,1.66,פועלים,6686
25,3,2.75,מזרחי-טפחות,6687
20,2,2.36,לאומי,6688
20,2,1.95,דיסקונט,6689
30,3,2.49,פועלים,6690
30,2,2.65,לאומי,6691
25,2,2.53,דיסקונט,6696
25,1, 3.6,מזרחי-טפחות,6697
25,3,2.66,לאומי,6698
30,3,2.66,לאומי,6698
20,3,2.35,פועלים,6700
10,2,2.26,לאומי,6702
30,3,2.25,אגוד,6703
20,3, 3.1,מזרחי-טפחות,6704
25,2,2.72,פועלים,6705
15,2,2.26,לאומי,6707
15,2,2.16,דיסקונט,6708
30,3,2.35,לאומי,6709
25,3,2.66,לאומי,6710
20,3,2.36,לאומי,6712
15,2, 2.5,הבינלאומי,6713
30,3,1.96,לאומי,6714
25,2,2.66,דיסקונט,6715
30,2,2.02,פועלים,6718
25,3,2.16,לאומי,6719
30,3,3.16,פועלים,6725
30,3,2.45,מזרחי-טפחות,6726
30,2,2.77,דיסקונט,6727
30,1,1.81,פועלים,6728
20,3,2.66,לאומי,6729
30,3,2.76,פועלים,6730
30,2,2.96,פועלים,6731
25,3,2.06,הבינלאומי,6736
20,3,1.61,דיסקונט,6737
20,3,2.41,לאומי,6739
20,3,2.16,לאומי,6741
15,2,2.16,לאומי,6743
30,2,2.35,מזרחי-טפחות,6746
28,3,2.76,מזרחי-טפחות,6747
30,3,2.35,מזרחי-טפחות,6748
20,3,2.55,לאומי,6749
25,2,2.75,מזרחי-טפחות,6752
20,1,2.16,דיסקונט,6754
30,2,2.26,לאומי,6756
30,3,2.38,פועלים,6758
25,1,2.78,מזרחי-טפחות,6759
30,3,2.16,לאומי,6760
30,2,2.91,מזרחי-טפחות,6762
30,3, 2.5,פועלים,6763
25,2, 2.3,הבינלאומי,6766
30,2,2.26,פועלים,6767
10,2,2.16,דיסקונט,6769
30,1,1.76,דיסקונט,6770
30,2,2.66,לאומי,6771
30,2,2.77,דיסקונט,6773
30,1,2.46,לאומי,6775
25,1,2.26,פועלים,6777
20,1,2.05,מזרחי-טפחות,6779
20,1,1.73,הבינלאומי,6783
20,1,2.12,הבינלאומי,6785
30,1,1.76,פועלים,6786
20,3, 2.2,הבינלאומי,6787
30,3,2.55,אגוד,6790
30,1, 1.3,מזרחי-טפחות,6791
10,2,2.11,לאומי,6793
20,3, 2.9,פועלים,6794
25,3, 2.7,הבינלאומי,6797
20,2,1.33,מזרחי-טפחות,6798
11,1, 2.1,אגוד,6802
25,3,2.46,לאומי,6804
20,3,2.06,דיסקונט,6806
28,2,2.76,מזרחי-טפחות,6807
20,3,2.11,לאומי,6808
10,2,2.01,דיסקונט,6809
30,2, 1.8,פועלים,6811
20,2,2.21,לאומי,6812
20,3,2.06,לאומי,6813
20,3, 2.3,דיסקונט,6817
20,3,   2,דיסקונט,6818
25,3,2.65,פועלים,6821
30,1,2.24,הבינלאומי,6822
25,3,2.16,לאומי,6823
30,2,2.62,דיסקונט,6825
30,2,2.56,לאומי,6826
30,3,2.66,מזרחי-טפחות,6830
30,1,2.24,הבינלאומי,6832
25,1,1.66,לאומי,6836
25,3,2.13,מזרחי-טפחות,6837
20,1,2.06,דיסקונט,6838
30,1,2.11,פועלים,6840
30,3,1.38,מזרחי-טפחות,6841
20,1,1.66,לאומי,6842
20,3,2.01,לאומי,6843
30,3,2.53,פועלים,6845
30,2,2.96,לאומי,6846
25,1,1.15,אגוד,6847
25,1,1.96,פועלים,6848
20,2,1.33,מזרחי-טפחות,6849
30,3,2.62,דיסקונט,6851
30,3, 2.6,הבינלאומי,6853
30,2,2.16,פועלים,6860
30,2,2.38,דיסקונט,6861
10,1, 1.3,מזרחי-טפחות,6863
30,3,2.23,מזרחי-טפחות,6868
30,3,2.42,דיסקונט,6871
25,2,2.32,הבינלאומי,6873
25,2,2.32,הבינלאומי,6874
15,2,2.03,מזרחי-טפחות,6875
20,2,2.15,מזרחי-טפחות,6875
15,2,2.06,לאומי,6876
20,2,2.16,לאומי,6876
20,3,2.65,מזרחי-טפחות,6877
30,1,2.92,פועלים,6879
30,1,1.06,פועלים,6880
10,2,2.35,פועלים,6883
30,3,2.92,דיסקונט,6884
30,3,2.43,מזרחי-טפחות,6886
30,3,2.65,לאומי,6887
25,1,3.06,לאומי,6888
