mortgage_size,danger,monthly_payment,loan_number,loan_margin
1033000,2,5345,7126,1.857
3552500,2,13869,7127,1.8086
1456000,3,6040,7130,1.7796
1625000,3,6368,7131,1.7753
2156000,3,9089,7135,2.1239
1485000,3,6793,7134,2.201
200000,1,1230,7136,1.72
1100000,3,4737,7137,1.9042
1079997,2,3984,7139,1.9011
1200000,2,5686,7141,1.6124
1700000,3,6654,7143,2.0113
3498000,3,13354,7144,2.255
1184000,3,4599,7148,2.019
900000,1,7725,7149,2.3144
900000,1,7822,7150,1.9547
3552500,2,13827,7151,1.7847
1485000,2,6684,7152,2.049
1564000,3,6311,7153,2.0509
1650000,2,8267,7154,2.0532
1484998,2,6581,7155,1.942
1784999,3,7754,7156,2.567
3552500,2,13777,7157,1.7564
1600000,3,6416,7159,1.9773
1090000,2,5301,7160,1.7354
1200000,2,5801,7161,1.9079
1090000,2,5522,7162,1.7938
1564000,3,6278,7163,2.0074
1236405,3,5666,7164,2.2115
1341600,2,6151,7165,2.0843
2159079,3,9151,7166,2.2324
1073579,2,5193,7142,2.2302
1070000,2,5128,7167,2.1396
1080000,2,5532,7168,1.9744
1080000,2,5436,7169,1.784
900000,2,7414,7170,1.7741
1350000,3,5517,7172,2.0738
930000,3,4028,7174,1.8958
1700000,3,6786,7176,2.2113
870000,2,4469,7175,1.9488
800000,2,4544,7178,1.8911
300000,1,3107,7179,2.0006
780000,2,4575,7180,2.012
1341600,2,6091,7181,1.9893
1070000,2,5075,7183,2.0316
1700000,3,7060,7184,2.0602
2600000,3,9863,7146,1.649
2600000,3,9841,7182,1.6311
1080000,2,5490,7185,1.7671
730000,2,4297,7186,1.9242
1341600,2,6087,7187,1.9833
1080000,2,5460,7188,1.7082
1350000,3,5381,7189,1.8675
850000,2,1300,7190,1.7018
1470000,2,5764,7191,1.6502
300000,4,1460,7193,3.6928
300000,4,1470,7194,3.7686
675000,2,3478,7195,1.8555
1400000,2,7157,7196,1.6982
1350000,3,5592,7197,2.1806
855000,2,4905,7198,1.6823
1080000,2,5546,7199,1.8836
300000,3,1831,7200,4.6144
800000,2,4036,7202,1.977
873000,2,4378,7177,2.1383
1248000,2,7102,7203,1.9885
1050000,1,7159,7204,1.912
1413750,3,5755,7205,2.6155
2159079,3,9285,7206,2.2976
873000,2,4338,7207,2.0438
700000,2,3834,7208,1.7481
721000,4,2872,7209,2.6647
1580000,4,5943,7210,2.556
600000,2,3909,7211,2.2298
1039000,1,6800,7212,1.6314
1039000,2,6164,7213,1.6142
1316000,3,5603,7214,2.0182
1014000,1,6858,7215,1.8966
655000,2,3924,7216,1.6866
835000,2,5007,7217,1.6817
538000,2,3564,7218,2.4763
1200000,3,4814,7219,2.2181
908000,3,3480,7220,2.0778
1200000,3,4814,7221,2.2181
720000,2,4782,7222,2.0831
750000,2,4358,7223,2.2588
650000,2,3056,7224,2.0677
780000,2,4397,7225,2.1488
1500000,2,7558,7226,1.8178
1175000,2,5848,7227,1.9109
1245000,3,4894,7228,2.3193
1413749,3,5878,7229,2.0254
1200000,3,5225,7230,1.673
1227000,3,5136,7231,2.4087
1350000,3,5360,7232,1.8335
2159079,3,8973,7233,2.0632
1341600,2,6065,7235,1.9492
1248000,2,7086,7236,1.7797
1350000,3,6388,7237,2.556
1341600,2,6070,7238,1.9573
1188000,2,6353,7239,1.8012
1000000,2,4917,7240,1.5231
1068000,2,5622,7242,1.6944
1140000,3,4742,7243,1.9745
967500,2,4435,7244,1.9242
1073579,2,5063,7245,1.9769
300000,3,1682,7246,3.6393
1080000,2,5459,7247,1.6786
1248000,2,7045,7248,1.7077
1080000,2,5441,7249,1.6665
1140000,3,4786,7250,2.1
2600000,3,9813,7251,1.6085
645000,2,4028,7253,2.3533
1080000,2,5443,7254,1.6696
1785000,3,7918,7255,2.4813
1070000,2,5033,7256,1.9478
1140000,3,4771,7258,2.0249
1500000,2,7002,7257,1.803
774000,3,3421,7261,2.0148
450000,5,2535,7262,5.6666
1080000,2,5437,7263,1.6588
870000,2,4507,7264,1.9701
1140000,3,4687,7265,1.8746
1350000,3,5352,7266,1.8012
1350000,3,5291,7267,1.7253
